#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    diss                    dissx                   dissy                   dissz
1123311      0.114640107636E+03       0.120403796343E+01      0.400697762584E+00      0.401593630835E+00      0.401746570015E+00
1123399      0.114660120084E+03       0.119816651602E+01      0.398538619656E+00      0.400086666173E+00      0.399541230194E+00
1123492      0.114680201133E+03       0.119204094752E+01      0.396406897713E+00      0.398466721314E+00      0.397167328493E+00
1123585      0.114700001849E+03       0.118575019993E+01      0.394218167675E+00      0.396719166389E+00      0.394812865869E+00
1123678      0.114720008794E+03       0.117920373377E+01      0.391766350315E+00      0.394897443016E+00      0.392539940441E+00
1123768      0.114740035223E+03       0.117253084992E+01      0.389193274819E+00      0.392950949672E+00      0.390386625432E+00
1123859      0.114760210289E+03       0.116570813166E+01      0.386636446784E+00      0.390857776884E+00      0.388213907996E+00
1123950      0.114780166251E+03       0.115880851867E+01      0.384177064804E+00      0.388650765384E+00      0.385980688484E+00
1124038      0.114800053689E+03       0.115170823358E+01      0.381783234516E+00      0.386296338965E+00      0.383628660095E+00
1124122      0.114820090541E+03       0.114432843835E+01      0.379466673442E+00      0.383800001017E+00      0.381061763888E+00
1124205      0.114840158805E+03       0.113671275046E+01      0.377252890159E+00      0.381187749384E+00      0.378272110914E+00
1124286      0.114860049822E+03       0.112890883808E+01      0.375130485852E+00      0.378459113216E+00      0.375319239016E+00
1124367      0.114880027770E+03       0.112082742453E+01      0.373064969416E+00      0.375568133738E+00      0.372194321377E+00
1124449      0.114900043294E+03       0.111258351091E+01      0.371022591742E+00      0.372578003021E+00      0.368982916146E+00
1124528      0.114920193803E+03       0.110417697765E+01      0.368810033494E+00      0.369548734561E+00      0.365818209597E+00
1124607      0.114940145797E+03       0.109572719834E+01      0.366320118425E+00      0.366590193279E+00      0.362816886633E+00
1124687      0.114960135377E+03       0.108718092178E+01      0.363533441914E+00      0.363678655203E+00      0.359968824660E+00
1124766      0.114980049302E+03       0.107865244046E+01      0.360544062559E+00      0.360811872678E+00      0.357296505219E+00
1124844      0.115000193434E+03       0.107003942279E+01      0.357330212010E+00      0.357973465662E+00      0.354735745115E+00
1124919      0.115020007290E+03       0.106156489544E+01      0.353957339063E+00      0.355263553838E+00      0.352344002543E+00
1124995      0.115040257340E+03       0.105290622139E+01      0.350311730511E+00      0.352570397959E+00      0.350024092924E+00
1125069      0.115060256232E+03       0.104442657678E+01      0.346631770178E+00      0.350006478354E+00      0.347788328244E+00
1125141      0.115080051258E+03       0.103610294765E+01      0.343015017458E+00      0.347575596200E+00      0.345512333988E+00
1125218      0.115100096542E+03       0.102761358911E+01      0.339369030670E+00      0.345169651968E+00      0.343074906472E+00
1125299      0.115120237738E+03       0.101893675830E+01      0.335716743752E+00      0.342728104164E+00      0.340491910382E+00
1125378      0.115140013101E+03       0.101029697587E+01      0.332213199347E+00      0.340248826442E+00      0.337834950081E+00
1125456      0.115160206375E+03       0.100139021700E+01      0.328794906488E+00      0.337602469075E+00      0.334992841441E+00
1125530      0.115180228967E+03       0.992488232714E+00      0.325559689793E+00      0.334841608749E+00      0.332086934172E+00
