#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time            <u^2>/<uii^2>           <v^2>/<uii^2>           <w^2>/<uii^2>
1128439      0.116120299672E+03       0.111296427646E+01      0.945321474863E+00      0.941714248672E+00
1128491      0.116140330634E+03       0.111300341469E+01      0.946181893175E+00      0.940814692135E+00
1128542      0.116160393334E+03       0.111304332328E+01      0.946992964668E+00      0.939963712048E+00
1128592      0.116180224716E+03       0.111309138521E+01      0.947744984124E+00      0.939163630669E+00
1128643      0.116200379562E+03       0.111315224736E+01      0.948461218388E+00      0.938386534249E+00
1128693      0.116220138054E+03       0.111322375894E+01      0.949119148529E+00      0.937657092533E+00
1128744      0.116240354993E+03       0.111330978909E+01      0.949746265083E+00      0.936943945826E+00
1128794      0.116260339674E+03       0.111341128545E+01      0.950314625815E+00      0.936274088734E+00
1128843      0.116280167798E+03       0.111353365406E+01      0.950820228561E+00      0.935646117381E+00
1128892      0.116300299627E+03       0.111368520052E+01      0.951268006894E+00      0.935046792591E+00
1128940      0.116320369390E+03       0.111386801902E+01      0.951644697208E+00      0.934487283777E+00
1128988      0.116340206655E+03       0.111408442888E+01      0.951944932038E+00      0.933970639086E+00
1129037      0.116360315685E+03       0.111434501859E+01      0.952170955016E+00      0.933484026399E+00
1129085      0.116380057698E+03       0.111464401492E+01      0.952310588820E+00      0.933045396262E+00
1129133      0.116400004149E+03       0.111498739134E+01      0.952365692574E+00      0.932646916084E+00
1129181      0.116420059679E+03       0.111536702166E+01      0.952335470135E+00      0.932297508209E+00
1129229      0.116440191598E+03       0.111577286355E+01      0.952224710316E+00      0.932002426130E+00
1129278      0.116460377696E+03       0.111619572431E+01      0.952041084847E+00      0.931763190843E+00
1129327      0.116480216337E+03       0.111662028798E+01      0.951798654836E+00      0.931581057183E+00
1129377      0.116500353110E+03       0.111705495733E+01      0.951499288925E+00      0.931445753749E+00
1129426      0.116520173207E+03       0.111748053207E+01      0.951162493262E+00      0.931356974666E+00
1129475      0.116540187767E+03       0.111789977974E+01      0.950791264738E+00      0.931308955524E+00
1129523      0.116560089163E+03       0.111829565848E+01      0.950402244794E+00      0.931302096730E+00
1129571      0.116580371765E+03       0.111866601597E+01      0.949995287446E+00      0.931338696584E+00
1129617      0.116600260933E+03       0.111898755754E+01      0.949592964121E+00      0.931419478342E+00
1129662      0.116620186998E+03       0.111926381972E+01      0.949190760434E+00      0.931545419844E+00
1129706      0.116640068504E+03       0.111949524564E+01      0.948791734386E+00      0.931713019978E+00
1129751      0.116660236788E+03       0.111969276129E+01      0.948387654622E+00      0.931919584091E+00
1129796      0.116680087627E+03       0.111986300991E+01      0.947985515432E+00      0.932151474657E+00
1129842      0.116700407748E+03       0.112002788273E+01      0.947560619977E+00      0.932411497294E+00
1129886      0.116720161158E+03       0.112019410298E+01      0.947124165453E+00      0.932681731562E+00
1129930      0.116740311028E+03       0.112038368666E+01      0.946644169064E+00      0.932972144278E+00
1129973      0.116760081367E+03       0.112060085645E+01      0.946130446220E+00      0.933268697331E+00
1130017      0.116780327201E+03       0.112086500033E+01      0.945555367028E+00      0.933579632641E+00
1130061      0.116800414246E+03       0.112117667081E+01      0.944935134532E+00      0.933888194657E+00
1130105      0.116820001616E+03       0.112153361035E+01      0.944286152243E+00      0.934180237405E+00
1130151      0.116840082661E+03       0.112195684647E+01      0.943582442482E+00      0.934460711052E+00
1130198      0.116860256387E+03       0.112244033939E+01      0.942845431148E+00      0.934714229460E+00
1130246      0.116880255669E+03       0.112297370986E+01      0.942094731368E+00      0.934931558772E+00
1130295      0.116900139614E+03       0.112355011740E+01      0.941337879940E+00      0.935112002659E+00
1130345      0.116920122828E+03       0.112416509413E+01      0.940575408700E+00      0.935259497175E+00
1130396      0.116940386272E+03       0.112481175609E+01      0.939808410164E+00      0.935379833745E+00
1130445      0.116960147914E+03       0.112545043152E+01      0.939073455513E+00      0.935476112971E+00
1130493      0.116980069875E+03       0.112608774391E+01      0.938352373332E+00      0.935559882762E+00
1130540      0.117000181128E+03       0.112671023538E+01      0.937651651965E+00      0.935638112651E+00
1130585      0.117020078553E+03       0.112729255994E+01      0.936992266411E+00      0.935715173649E+00
1130630      0.117040266964E+03       0.112783773556E+01      0.936364291660E+00      0.935797972782E+00
1130674      0.117060073041E+03       0.112831863885E+01      0.935793550884E+00      0.935887810261E+00
1130718      0.117080071780E+03       0.112874341942E+01      0.935265903869E+00      0.935990676707E+00
1130762      0.117100374191E+03       0.112910896174E+01      0.934780667092E+00      0.936110371166E+00
1130804      0.117120137535E+03       0.112940171069E+01      0.934355027911E+00      0.936243261394E+00
