#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    <u^2>                   <v^2>                   <w^2>
1127854      0.115900283710E+03       0.851495969704E+00      0.716514584360E+00      0.729225757785E+00
1127907      0.115920244957E+03       0.842253798360E+00      0.709031481082E+00      0.720715197799E+00
1127960      0.115940254947E+03       0.833074366439E+00      0.701733189749E+00      0.712252698697E+00
1128013      0.115960178059E+03       0.824045560483E+00      0.694654018295E+00      0.703881338611E+00
1128066      0.115980180306E+03       0.815111065207E+00      0.687719722661E+00      0.695525105070E+00
1128119      0.116000201174E+03       0.806309123031E+00      0.680932745702E+00      0.687217172296E+00
1128172      0.116020093787E+03       0.797704753016E+00      0.674317492340E+00      0.679039068357E+00
1128226      0.116040331639E+03       0.789089110290E+00      0.667694658987E+00      0.670826362535E+00
1128279      0.116060163495E+03       0.780770319252E+00      0.661292251322E+00      0.662910374702E+00
1128333      0.116080334616E+03       0.772424245613E+00      0.654857727014E+00      0.655013402901E+00
1128386      0.116100200422E+03       0.764312676866E+00      0.648588980526E+00      0.647398473449E+00
1128439      0.116120299672E+03       0.756216373701E+00      0.642309544718E+00      0.639858573409E+00
1128491      0.116140330634E+03       0.748263150731E+00      0.636110397513E+00      0.632502071871E+00
1128542      0.116160393334E+03       0.740417909607E+00      0.629958004908E+00      0.625282010342E+00
1128592      0.116180224716E+03       0.732784162250E+00      0.623931263369E+00      0.618281880052E+00
1128643      0.116200379562E+03       0.725148569202E+00      0.617862738083E+00      0.611299715993E+00
1128693      0.116220138054E+03       0.717780917725E+00      0.611970062615E+00      0.604579594162E+00
1128744      0.116240354993E+03       0.710361461717E+00      0.605997676240E+00      0.597828993714E+00
1128794      0.116260339674E+03       0.703146112961E+00      0.600146634010E+00      0.591279695798E+00
1128843      0.116280167798E+03       0.696105514166E+00      0.594388145944E+00      0.584902323556E+00
1128892      0.116300299627E+03       0.689078420265E+00      0.588584866833E+00      0.578548198732E+00
1128940      0.116320369390E+03       0.682194677768E+00      0.582840099974E+00      0.572331946471E+00
1128988      0.116340206655E+03       0.675510097899E+00      0.577198996385E+00      0.566300525787E+00
1129037      0.116360315685E+03       0.668855411595E+00      0.571514822972E+00      0.560298500268E+00
1129085      0.116380057698E+03       0.662440395495E+00      0.565964554288E+00      0.554515121459E+00
1129133      0.116400004149E+03       0.656074433133E+00      0.560385513543E+00      0.548782705109E+00
1129181      0.116420059679E+03       0.649784355001E+00      0.554806334768E+00      0.543132729656E+00
1129229      0.116440191598E+03       0.643574431404E+00      0.549240348576E+00      0.537576195887E+00
1129278      0.116460377696E+03       0.637445679877E+00      0.543698979833E+00      0.532118523423E+00
1129327      0.116480216337E+03       0.631512544288E+00      0.538296497596E+00      0.526862291474E+00
1129377      0.116500353110E+03       0.625576862459E+00      0.532861821967E+00      0.521631373962E+00
1129426      0.116520173207E+03       0.619814742871E+00      0.527565822643E+00      0.516580617922E+00
1129475      0.116540187767E+03       0.614070652338E+00      0.522276703831E+00      0.511574926672E+00
1129523      0.116560089163E+03       0.608426068685E+00      0.517081057309E+00      0.506689326009E+00
1129571      0.116580371765E+03       0.602734498463E+00      0.511855124717E+00      0.501802999439E+00
1129617      0.116600260933E+03       0.597207170077E+00      0.506800744126E+00      0.497101497750E+00
1129662      0.116620186998E+03       0.591719651585E+00      0.501807363157E+00      0.492478825414E+00
1129706      0.116640068504E+03       0.586294337037E+00      0.496894670225E+00      0.487950323583E+00
1129751      0.116660236788E+03       0.580845098403E+00      0.491979889144E+00      0.483437011688E+00
1129796      0.116680087627E+03       0.575540799221E+00      0.487206324678E+00      0.479068600330E+00
1129842      0.116700407748E+03       0.570178969730E+00      0.482380078555E+00      0.474668028439E+00
1129886      0.116720161158E+03       0.565039185986E+00      0.477740657668E+00      0.470455722791E+00
1129930      0.116740311028E+03       0.559875786208E+00      0.473055038845E+00      0.466222883292E+00
1129973      0.116760081367E+03       0.554892146496E+00      0.468498976372E+00      0.462130175735E+00
1130017      0.116780327201E+03       0.549876606507E+00      0.463872791400E+00      0.457997707261E+00
1130061      0.116800414246E+03       0.544990470338E+00      0.459321583132E+00      0.453951798766E+00
1130105      0.116820001616E+03       0.540313154947E+00      0.454921925996E+00      0.450053272325E+00
