#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     b_11                    b_22                    b_33
1129181      0.116420059679E+03       0.384556738853E-01     -0.158881766217E-01     -0.225674972636E-01
1129229      0.116440191598E+03       0.385909545182E-01     -0.159250965614E-01     -0.226658579567E-01
1129278      0.116460377696E+03       0.387319081035E-01     -0.159863050511E-01     -0.227456030524E-01
1129327      0.116480216337E+03       0.388734293272E-01     -0.160671150548E-01     -0.228063142724E-01
1129377      0.116500353110E+03       0.390183191086E-01     -0.161669036916E-01     -0.228514154170E-01
1129426      0.116520173207E+03       0.391601773572E-01     -0.162791689126E-01     -0.228810084446E-01
1129475      0.116540187767E+03       0.392999265794E-01     -0.164029117539E-01     -0.228970148255E-01
1129523      0.116560089163E+03       0.394318861586E-01     -0.165325850687E-01     -0.228993010899E-01
1129571      0.116580371765E+03       0.395553386568E-01     -0.166682375180E-01     -0.228871011388E-01
1129617      0.116600260933E+03       0.396625191790E-01     -0.168023452931E-01     -0.228601738859E-01
1129662      0.116620186998E+03       0.397546065741E-01     -0.169364131887E-01     -0.228181933854E-01
1129706      0.116640068504E+03       0.398317485451E-01     -0.170694218712E-01     -0.227623266739E-01
1129751      0.116660236788E+03       0.398975870956E-01     -0.172041151259E-01     -0.226934719697E-01
1129796      0.116680087627E+03       0.399543366370E-01     -0.173381615227E-01     -0.226161751143E-01
1129842      0.116700407748E+03       0.400092942430E-01     -0.174797933410E-01     -0.225295009019E-01
1129886      0.116720161158E+03       0.400647009950E-01     -0.176252781823E-01     -0.224394228127E-01
1129930      0.116740311028E+03       0.401278955528E-01     -0.177852769788E-01     -0.223426185740E-01
1129973      0.116760081367E+03       0.402002854829E-01     -0.179565179266E-01     -0.222437675563E-01
1130017      0.116780327201E+03       0.402883334436E-01     -0.181482109907E-01     -0.221401224529E-01
1130061      0.116800414246E+03       0.403922236037E-01     -0.183549551561E-01     -0.220372684476E-01
1130105      0.116820001616E+03       0.405112034506E-01     -0.185712825857E-01     -0.219399208649E-01
